Time,Spot,Frwd3m
02-Jan-1979,0.714125586945137,0.712557574079769
03-Jan-1979,0.700867303575083,0.698582383049885
04-Jan-1979,0.70012279429637,0.698283964665098
05-Jan-1979,0.702206025048291,0.699626146657654
08-Jan-1979,0.705322756490079,0.702106921931417
09-Jan-1979,0.705026343090023,0.701859121161967
10-Jan-1979,0.695843542107688,0.691746199644317
11-Jan-1979,0.694346461135428,0.689891887839273
12-Jan-1979,0.689641041230658,0.684055980548165
15-Jan-1979,0.690393392363324,0.685568535036395
16-Jan-1979,0.693247175560279,0.688837908971847
17-Jan-1979,0.6965912429625,0.691345558613317
18-Jan-1979,0.6973881748172,0.69219672902395
19-Jan-1979,0.69479582080547,0.689490503056401
22-Jan-1979,0.692146680226362,0.68632395521182
23-Jan-1979,0.690944757004745,0.684913375632842
24-Jan-1979,0.692496969218359,0.685719664731149
25-Jan-1979,0.689038752515402,0.682490600371416
26-Jan-1979,0.690042365606467,0.68395506219103
29-Jan-1979,0.690493663094382,0.684257786714028
30-Jan-1979,0.691044972468075,0.684661276909647
31-Jan-1979,0.689139159162407,0.681732277744647
01-Feb-1979,0.683147348481612,0.675594021312356
02-Feb-1979,0.682793768480454,0.674524856431851
05-Feb-1979,0.687280002281898,0.678946831158804
06-Feb-1979,0.690042365606467,0.682136788039893
07-Feb-1979,0.699178952791664,0.690593923772228
08-Feb-1979,0.693896899450491,0.685770036220896
09-Feb-1979,0.694196629695517,0.686072211887982
12-Feb-1979,0.694646056683681,0.686676289429634
13-Feb-1979,0.691545899192971,0.684862960972248
14-Feb-1979,0.695394653100425,0.688285381143038
15-Feb-1979,0.694995471417563,0.688385863458235
16-Feb-1979,0.694845737195527,0.688335623562723
19-Feb-1979,0.694346461135428,0.68818488873013
20-Feb-1979,0.695494423628294,0.690092519830717
21-Feb-1979,0.697089399792569,0.691044972468075
22-Feb-1979,0.697836170046077,0.692346860389176
23-Feb-1979,0.698383447355192,0.693547100581272
26-Feb-1979,0.703691394435616,0.699228650875813
27-Feb-1979,0.704037663391118,0.699725495920068
28-Feb-1979,0.704680416373618,0.699924164838969
01-Mar-1979,0.704581558185609,0.700420664526444
02-Mar-1979,0.70398820373782,0.699427418517096
05-Mar-1979,0.704037663391118,0.699178952791664
06-Mar-1979,0.705668461113617,0.701462512163659
07-Mar-1979,0.709709268858923,0.704976932313523
08-Mar-1979,0.71515326082256,0.711429044237958
09-Mar-1979,0.711674485173829,0.708085052924152
12-Mar-1979,0.715886667529435,0.712606611716164
13-Mar-1979,0.7140276581393,0.711625401805718
14-Mar-1979,0.712606611716164,0.709266562439829
15-Mar-1979,0.711379948821005,0.708085052924152
16-Mar-1979,0.710446677638007,0.706852827616057
19-Mar-1979,0.704828685333783,0.700768067691306
20-Mar-1979,0.70921736073744,0.705767211916048
21-Mar-1979,0.708134310368194,0.703790340658425
22-Mar-1979,0.710250088459608,0.70616211763744
23-Mar-1979,0.711183543046044,0.706803507007431
26-Mar-1979,0.718668717790023,0.714664024022195
27-Mar-1979,0.719886477749567,0.716375306679153
28-Mar-1979,0.717595860962255,0.713341887845465
29-Mar-1979,0.720227184963687,0.716570695503533
30-Mar-1979,0.72585635496965,0.722414678240513
02-Apr-1979,0.726823706919329,0.723676385594768
03-Apr-1979,0.723918839226699,0.721345834918624
04-Apr-1979,0.725953132285123,0.722948671796735
05-Apr-1979,0.728417794641865,0.725904744798118
06-Apr-1979,0.736924802905833,0.735152474704975
09-Apr-1979,0.738359523381493,0.736254561593879
10-Apr-1979,0.743269789963156,0.741127493078512
11-Apr-1979,0.736924802905833,0.734720892469874
12-Apr-1979,0.735583870757202,0.733040744221622
17-Apr-1979,0.734864773911814,0.732271735243995
18-Apr-1979,0.729623747369963,0.726195034606146
19-Apr-1979,0.733040744221622,0.729575537173497
20-Apr-1979,0.725759568287422,0.722026140110322
23-Apr-1979,0.726098280699631,0.722317557859725
24-Apr-1979,0.726340147915709,0.722657437933886
25-Apr-1979,0.714908672341458,0.710692359775694
26-Apr-1979,0.714272462174894,0.710102621209359
27-Apr-1979,0.720470476208836,0.716766046158579
30-Apr-1979,0.726823706919329,0.723627887813532
01-May-1979,0.72270598280149,0.719789111506366
02-May-1979,0.726727013823141,0.723239820867115
03-May-1979,0.730394794586612,0.727741825324444
04-May-1979,0.729575537173497,0.727162059147223
08-May-1979,0.725759568287422,0.723627887813532
09-May-1979,0.724839627292435,0.721443049714793
10-May-1979,0.719448254979316,0.716033284346646
11-May-1979,0.716131016950321,0.712557574079769
14-May-1979,0.714370367011471,0.710741488960896
15-May-1979,0.722366119229165,0.719399551704011
16-May-1979,0.723385363620555,0.719496955882727
17-May-1979,0.721734637411858,0.718473738505954
18-May-1979,0.717839793150317,0.714370367011471
21-May-1979,0.714076623740975,0.710594094163666
22-May-1979,0.715006514912839,0.711821720824754
23-May-1979,0.721734637411858,0.717888572448392
24-May-1979,0.719545654414476,0.715935542190376
25-May-1979,0.717986123906864,0.715006514912839
29-May-1979,0.72061642254949,0.717839793150317
30-May-1979,0.722657437933886,0.718912388445972
31-May-1979,0.728514324397237,0.72546915202207
01-Jun-1979,0.728272982535319,0.725275494311467
04-Jun-1979,0.73179080415215,0.728755608027313
05-Jun-1979,0.732656313654658,0.730009345292512
06-Jun-1979,0.729334451321658,0.725711171433208
07-Jun-1979,0.725711171433208,0.722317557859725
08-Jun-1979,0.725130226412996,0.721491653569088
11-Jun-1979,0.725614370697447,0.722026140110322
12-Jun-1979,0.735727628095064,0.729720160790785
13-Jun-1979,0.745597305560864,0.736876943421271
