Time,SP500,SP500futures
10-Sep-1997,6.82331879755634,6.81919725200035
11-Sep-1997,6.81628674031612,6.81179488783623
12-Sep-1997,6.82861463507671,6.82871207164168
15-Sep-1997,6.82412366053244,6.82627403711425
16-Sep-1997,6.85186196280387,6.85250680475166
17-Sep-1997,6.84906628263346,6.85197826351314
18-Sep-1997,6.85360525328367,6.85435450225502
19-Sep-1997,6.85699869317235,6.86745398220861
22-Sep-1997,6.86216149359687,6.87342259990163
23-Sep-1997,6.8584914953227,6.86901445066571
24-Sep-1997,6.85063449031671,6.8611876431658
25-Sep-1997,6.84365396678814,6.85277097064938
26-Sep-1997,6.85141767395116,6.85987719873767
29-Sep-1997,6.85997163644981,6.8687545416324
30-Sep-1997,6.85359475063667,6.8611876431658
01-Oct-1997,6.86214053946115,6.87057248785442
02-Oct-1997,6.86741235927055,6.87626461189077
03-Oct-1997,6.87215921898954,6.88295016006317
06-Oct-1997,6.88006543121663,6.88908201371652
07-Oct-1997,6.89073118289049,6.89719976504262
08-Oct-1997,6.88124704682663,6.88984585843857
09-Oct-1997,6.87793503741831,6.88550967003482
10-Oct-1997,6.87417779203319,6.82984779010561
13-Oct-1997,6.8753353629352,6.8837187011539
14-Oct-1997,6.8775847195253,6.88499829185952
15-Oct-1997,6.87287390709454,6.83679619004164
16-Oct-1997,6.86197308632701,6.8627579130514
17-Oct-1997,6.85029561471201,6.85514532870984
20-Oct-1997,6.86234986432967,6.86927429216386
21-Oct-1997,6.87964385864786,6.8870422373846
22-Oct-1997,6.87573814722317,6.88166794421882
23-Oct-1997,6.85718803884813,6.86223476368033
24-Oct-1997,6.84762305185704,6.8501261661455
27-Oct-1997,6.77649557839598,6.77308037565554
28-Oct-1997,6.82638249448179,6.82925305082718
29-Oct-1997,6.82346018011209,6.82898259781674
30-Oct-1997,6.80647530767866,6.80572255341699
31-Oct-1997,6.81850867300117,6.82871207164168
03-Nov-1997,6.84480481887455,6.85197826351314
04-Nov-1997,6.84668806986339,6.84800527457636
05-Nov-1997,6.84881175395534,6.85329909318608
06-Nov-1997,6.84378196235307,6.84827063214725
07-Nov-1997,6.83250358687618,6.83652776969377
10-Nov-1997,6.82560118264548,6.8311441766103
11-Nov-1997,6.82847397944717,6.83141404572541
12-Nov-1997,6.80899517924159,6.81151967110131
13-Nov-1997,6.82073659978403,6.82355812018138
14-Nov-1997,6.83340879100116,6.82355812018138
17-Nov-1997,6.85245397587936,6.85635671589614
18-Nov-1997,6.84399510019089,6.84864201448963
19-Nov-1997,6.85075099949817,6.85414350953349
20-Nov-1997,6.86587019875312,6.87005341179813
21-Nov-1997,6.87014689340989,6.87688361531505
24-Nov-1997,6.85295054565002,6.85625143611502
25-Nov-1997,6.85732477754484,6.8582498590783
26-Nov-1997,6.85818682777591,6.86171134048073
28-Nov-1997,6.86213012607623,6.86171134048073
01-Dec-1997,6.88220156625143,6.88714432507801
02-Dec-1997,6.87902652494525,6.88254002984107
03-Dec-1997,6.88425123026979,6.88499829185952
04-Dec-1997,6.8804868271645,6.8843842926589
05-Dec-1997,6.89141243727947,6.89426468879964
08-Dec-1997,6.88996801437758,6.8922354673241
09-Dec-1997,6.88323718088822,6.88642949226738
10-Dec-1997,6.87707953052835,6.87750223581112
11-Dec-1997,6.86164851337626,6.86108287078371
12-Dec-1997,6.86002406967204,6.86223476368033
15-Dec-1997,6.87045832980776,6.87036488976358
16-Dec-1997,6.87527338601055,6.87678047468271
17-Dec-1997,6.87268750753646,6.87171350763487
18-Dec-1997,6.86202541471446,6.8611876431658
19-Dec-1997,6.85306678426147,6.8643257210548
22-Dec-1997,6.86034916916744,6.8643257210548
23-Dec-1997,6.84495392010411,6.86979377269502
24-Dec-1997,6.83808361859869,6.85118492749374
26-Dec-1997,6.8421068322383,6.85224256905188
29-Dec-1997,6.85998207233607,6.85224256905188
30-Dec-1997,6.87816170394603,6.87290500154639
31-Dec-1997,6.87773926502524,6.88678697254594
02-Jan-1998,6.88247847323417,6.89238780185102
05-Jan-1998,6.88455830454221,6.89238780185102
06-Jan-1998,6.87376408570256,6.89467003943348
07-Jan-1998,6.87109129461055,6.87832646829133
08-Jan-1998,6.86281020038732,6.88141130364254
09-Jan-1998,6.83269762741025,6.8346468071615
12-Jan-1998,6.84503911980055,6.85171388809851
13-Jan-1998,6.85869107201641,6.86641231544775
14-Jan-1998,6.86478514761714,6.87031298350627
15-Jan-1998,6.85723008952645,6.86171134048073
16-Jan-1998,6.86850497579108,6.87574848284705
20-Jan-1998,6.88612295433019,6.89289541607511
21-Jan-1998,6.87813077252212,6.88295016006317
22-Jan-1998,6.87009492495513,6.87342259990163
23-Jan-1998,6.86441973961142,6.87160983234578
26-Jan-1998,6.86375115602392,6.87057248785442
27-Jan-1998,6.87628527215206,6.88115459718496
28-Jan-1998,6.88495739281345,6.88959130835447
29-Jan-1998,6.89313896926062,6.89467003943348
30-Jan-1998,6.88783827472516,6.8954296292915
02-Feb-1998,6.90902449318891,6.91174730025167
03-Feb-1998,6.91373735065968,6.91844790852088
04-Feb-1998,6.9146316067571,6.91745805444352
05-Feb-1998,6.91128900600788,6.91721043775289
06-Feb-1998,6.92013831375672,6.91721043775289
09-Feb-1998,6.91843800493486,6.92264389147589
10-Feb-1998,6.92658685653071,6.93171591642698
11-Feb-1998,6.92756771995565,6.93122763516728
12-Feb-1998,6.93160852965073,6.93415375283667
13-Feb-1998,6.92764616414818,6.92976135924475
17-Feb-1998,6.93026014409967,6.93488394637039
18-Feb-1998,6.93933141978453,6.94239822242568
