data source: https://au.investing.com/indices/us-spx-500-futures-historical-data,,,,,,
,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
"Oct 30, 1997",903,924.5,928.5,902.25,13.87K,-2.3
"Oct 31, 1997",924,902,926.25,889.75,14.35K,2.33
"Nov 03, 1997",945.75,923.75,945,921.25,11.47K,2.35
"Nov 04, 1997",942,946,946.75,936.25,11.35K,-0.4
"Nov 05, 1997",947,941.5,956,938.25,11.07K,0.53
"Nov 06, 1997",942.25,946.5,947.5,937.25,8.87K,-0.5
"Nov 07, 1997",931.25,942.25,943,916.5,13.53K,-1.17
"Nov 10, 1997",926.25,930,940.5,922.75,9.94K,-0.54
"Nov 11, 1997",926.5,926,932.75,922.5,6.89K,0.03
"Nov 12, 1997",908.25,926.5,929.5,905.5,14.19K,-1.97
"Nov 13, 1997",919.25,907,922.5,902.5,13.93K,1.21
"Nov 14, 1997",919.25,920,934.75,915,11.39K,0
"Nov 17, 1997",949.9,932,954.5,915.25,9.94K,3.33
"Nov 18, 1997",942.6,950,954.5,940,10.84K,-0.77
